!CSV A.01.01
!Keysight Technologies,N5227B,US63055424,A.15.71.11
!Date: Saturday, July 19, 2025 10:24:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000000,-0.27927318,167.48148,-76.297997,19.120811,-77.629234,-87.468422,0.0013060096,-0.098993875
1014000000,-0.29687235,165.60661,-80.443756,-86.978188,-96.0494,41.417854,0.018641837,-0.077784151
1028000000,-0.28589964,163.78683,-72.436356,-142.43546,-75.190811,-49.90012,0.0062785018,-0.18331639
1042000000,-0.29646632,161.88348,-69.508118,42.647232,-73.472313,34.94162,0.011668718,-0.15590823
1056000000,-0.2925384,160.19351,-78.535057,-12.837375,-73.077118,-24.444164,0.013799607,-0.12780318
1070000000,-0.29055297,158.27187,-72.026665,3.319488,-76.307274,172.24416,0.0091627613,-0.12118659
1084000000,-0.29114586,156.50816,-71.055351,-52.070858,-75.190559,148.59517,0.0054347222,-0.22930023
1098000000,-0.29594475,154.71199,-75.704254,-47.748775,-75.948662,94.065407,0.013473433,-0.16391107
1112000000,-0.294673,153.02278,-78.701897,-14.164689,-82.200348,-178.67984,0.029409168,-0.16966303
1126000000,-0.28583798,151.21346,-72.936508,163.18576,-77.751053,13.184658,0.0149663,-0.17086416
1140000000,-0.28628504,149.54276,-75.398682,84.96524,-73.773849,14.968172,0.0052661537,-0.16398561
1154000000,-0.29176456,147.79803,-72.409538,-77.736038,-71.721848,-68.264687,0.011577844,-0.19594741
1168000000,-0.2955485,146.12718,-75.825638,123.89857,-70.020454,-33.477585,0.0081490185,-0.20505814
1182000000,-0.28862679,144.33887,-71.559784,34.429008,-73.338852,62.304974,0.010143728,-0.20607917
1196000000,-0.28881049,142.68498,-87.409233,-3.2794201,-76.033775,-15.65449,0.014096857,-0.21569929
1210000000,-0.29951185,140.94327,-70.0625,32.350609,-79.038231,158.74026,-0.0024023645,-0.17983598
1224000000,-0.29949382,139.30873,-71.759163,82.703117,-86.365044,6.839994,-0.0022834837,-0.19261281
1238000000,-0.29252595,137.68738,-77.530388,75.146492,-75.628456,25.165745,0.0081500523,-0.1317486
1252000000,-0.29356501,135.8858,-78.119133,-100.56728,-72.411026,21.175665,0.011879376,-0.23466194
1266000000,-0.29819718,134.35213,-81.627594,70.430634,-77.469719,142.74902,0.0077738427,-0.17479736
1280000000,-0.28964773,132.72348,-73.421425,146.3447,-82.380646,108.04555,0.0057656355,-0.25335044
1294000000,-0.29590318,131.11714,-85.443504,129.16246,-81.62429,26.471191,0.021928979,-0.19661239
1308000000,-0.30382776,129.47922,-74.309006,-117.47423,-75.930176,149.52573,0.011609856,-0.18076366
1322000000,-0.2949068,127.92142,-68.470848,-2.5373406,-71.93158,-131.60832,0.005933668,-0.18451814
1336000000,-0.30180079,126.25173,-81.340683,-113.70325,-84.04895,148.39534,0.0066491542,-0.15331614
1350000000,-0.29459044,124.69452,-77.923286,61.474171,-81.402077,81.302116,0.0090666674,-0.23579209
1364000000,-0.29432616,123.05724,-76.527504,-97.743233,-78.618408,-95.680969,0.008802657,-0.20463544
1378000000,-0.28853106,121.51482,-69.972733,124.80141,-94.004074,21.849979,0.0083128251,-0.24175943
